analysis_model_id,sensitivity_subset,classifier,split,condition,train_rows,rows,authors,accuracy,macro_f1,weighted_f1,macro_f1_survival_vs_original
groq_qwen_32b_free,qc_pass_only,nearest_centroid,validation,original,84,18,6,0.944444,0.942857,0.942857,1.0
groq_qwen_32b_free,qc_pass_only,nearest_centroid,test,original,84,18,6,0.722222,0.659524,0.659524,1.0
groq_qwen_32b_free,qc_pass_only,nearest_centroid,validation,paraphrase,65,15,6,0.733333,0.737302,0.718095,0.781987
groq_qwen_32b_free,qc_pass_only,nearest_centroid,test,paraphrase,65,13,6,0.615385,0.527778,0.5,0.800241
groq_qwen_32b_free,qc_pass_only,nearest_centroid,validation,modernize,65,15,6,0.733333,0.727778,0.72,0.771886
groq_qwen_32b_free,qc_pass_only,nearest_centroid,test,modernize,65,13,6,0.769231,0.688889,0.712821,1.044525
groq_qwen_32b_free,qc_pass_only,nearest_centroid,validation,simplify,52,10,6,0.6,0.666667,0.533333,0.707071
groq_qwen_32b_free,qc_pass_only,nearest_centroid,test,simplify,52,11,6,0.545455,0.511905,0.467532,0.776173
groq_gpt_oss_120b_free,all_rows,nearest_centroid,validation,original,84,18,6,0.944444,0.942857,0.942857,1.0
groq_gpt_oss_120b_free,all_rows,nearest_centroid,test,original,84,18,6,0.722222,0.659524,0.659524,1.0
groq_gpt_oss_120b_free,all_rows,nearest_centroid,validation,paraphrase,84,18,6,0.777778,0.756349,0.756349,0.802188
groq_gpt_oss_120b_free,all_rows,nearest_centroid,test,paraphrase,84,18,6,0.722222,0.674242,0.674242,1.022316
groq_gpt_oss_120b_free,all_rows,nearest_centroid,validation,modernize,84,18,6,0.777778,0.710714,0.710714,0.753788
groq_gpt_oss_120b_free,all_rows,nearest_centroid,test,modernize,84,18,6,0.611111,0.533766,0.533766,0.80932
groq_gpt_oss_120b_free,all_rows,nearest_centroid,validation,simplify,84,18,6,0.722222,0.678968,0.678968,0.720118
groq_gpt_oss_120b_free,all_rows,nearest_centroid,test,simplify,84,18,6,0.611111,0.535354,0.535354,0.811728
groq_gpt_oss_120b_free,qc_pass_only,nearest_centroid,validation,original,84,18,6,0.944444,0.942857,0.942857,1.0
groq_gpt_oss_120b_free,qc_pass_only,nearest_centroid,test,original,84,18,6,0.722222,0.659524,0.659524,1.0
groq_gpt_oss_120b_free,qc_pass_only,nearest_centroid,validation,paraphrase,72,16,6,0.8125,0.792857,0.829464,0.840909
groq_gpt_oss_120b_free,qc_pass_only,nearest_centroid,test,paraphrase,72,16,6,0.625,0.550265,0.52877,0.834337
groq_gpt_oss_120b_free,qc_pass_only,nearest_centroid,validation,modernize,64,13,6,0.692308,0.709524,0.674725,0.752526
groq_gpt_oss_120b_free,qc_pass_only,nearest_centroid,test,modernize,64,15,6,0.666667,0.596825,0.573968,0.904933
groq_gpt_oss_120b_free,qc_pass_only,nearest_centroid,validation,simplify,43,9,5,0.333333,0.288889,0.385185,0.306397
groq_gpt_oss_120b_free,qc_pass_only,nearest_centroid,test,simplify,43,10,6,0.7,0.559524,0.607143,0.848375
