analysis_model_id,sensitivity_subset,feature_family,condition,rows,authors,mean_pairwise_centroid_distance,original_distance,distance_ratio_vs_original
groq_qwen_32b_free,all_rows,all_features,original,120,6,86.486384,86.486384,1.0
groq_qwen_32b_free,all_rows,all_features,paraphrase,120,6,82.477562,86.486384,0.953648
groq_qwen_32b_free,all_rows,all_features,modernize,120,6,78.213069,86.486384,0.90434
groq_qwen_32b_free,all_rows,all_features,simplify,120,6,80.21521,86.486384,0.927489
groq_qwen_32b_free,all_rows,function_word,original,120,6,39.767264,39.767264,1.0
groq_qwen_32b_free,all_rows,function_word,paraphrase,120,6,36.688852,39.767264,0.922589
groq_qwen_32b_free,all_rows,function_word,modernize,120,6,33.346264,39.767264,0.838536
groq_qwen_32b_free,all_rows,function_word,simplify,120,6,33.119854,39.767264,0.832842
groq_qwen_32b_free,all_rows,char3,original,120,6,12.163133,12.163133,1.0
groq_qwen_32b_free,all_rows,char3,paraphrase,120,6,11.567913,12.163133,0.951064
groq_qwen_32b_free,all_rows,char3,modernize,120,6,11.030574,12.163133,0.906886
groq_qwen_32b_free,all_rows,char3,simplify,120,6,10.671857,12.163133,0.877394
groq_qwen_32b_free,all_rows,punctuation,original,120,6,84.337339,84.337339,1.0
groq_qwen_32b_free,all_rows,punctuation,paraphrase,120,6,74.336213,84.337339,0.881415
groq_qwen_32b_free,all_rows,punctuation,modernize,120,6,70.000684,84.337339,0.830008
groq_qwen_32b_free,all_rows,punctuation,simplify,120,6,69.393937,84.337339,0.822814
groq_qwen_32b_free,qc_pass_only,all_features,original,120,6,86.486384,86.486384,1.0
groq_qwen_32b_free,qc_pass_only,all_features,paraphrase,93,6,80.017209,86.486384,0.9252
groq_qwen_32b_free,qc_pass_only,all_features,modernize,93,6,76.164377,86.486384,0.880652
groq_qwen_32b_free,qc_pass_only,all_features,simplify,73,6,70.542009,86.486384,0.815643
groq_qwen_32b_free,qc_pass_only,function_word,original,120,6,39.767264,39.767264,1.0
groq_qwen_32b_free,qc_pass_only,function_word,paraphrase,93,6,38.646228,39.767264,0.97181
groq_qwen_32b_free,qc_pass_only,function_word,modernize,93,6,34.838193,39.767264,0.876052
groq_qwen_32b_free,qc_pass_only,function_word,simplify,73,6,39.046929,39.767264,0.981886
groq_qwen_32b_free,qc_pass_only,char3,original,120,6,12.163133,12.163133,1.0
groq_qwen_32b_free,qc_pass_only,char3,paraphrase,93,6,12.307335,12.163133,1.011856
groq_qwen_32b_free,qc_pass_only,char3,modernize,93,6,11.447269,12.163133,0.941145
groq_qwen_32b_free,qc_pass_only,char3,simplify,73,6,12.454486,12.163133,1.023954
groq_qwen_32b_free,qc_pass_only,punctuation,original,120,6,84.337339,84.337339,1.0
groq_qwen_32b_free,qc_pass_only,punctuation,paraphrase,93,6,75.30279,84.337339,0.892876
groq_qwen_32b_free,qc_pass_only,punctuation,modernize,93,6,70.239629,84.337339,0.832841
groq_qwen_32b_free,qc_pass_only,punctuation,simplify,73,6,65.949219,84.337339,0.781969
groq_gpt_oss_120b_free,all_rows,all_features,original,120,6,86.486384,86.486384,1.0
groq_gpt_oss_120b_free,all_rows,all_features,paraphrase,120,6,78.446564,86.486384,0.907039
groq_gpt_oss_120b_free,all_rows,all_features,modernize,120,6,86.735272,86.486384,1.002878
groq_gpt_oss_120b_free,all_rows,all_features,simplify,120,6,84.85344,86.486384,0.981119
groq_gpt_oss_120b_free,all_rows,function_word,original,120,6,39.767264,39.767264,1.0
groq_gpt_oss_120b_free,all_rows,function_word,paraphrase,120,6,33.18707,39.767264,0.834532
groq_gpt_oss_120b_free,all_rows,function_word,modernize,120,6,33.357447,39.767264,0.838817
groq_gpt_oss_120b_free,all_rows,function_word,simplify,120,6,33.474389,39.767264,0.841757
groq_gpt_oss_120b_free,all_rows,char3,original,120,6,12.163133,12.163133,1.0
groq_gpt_oss_120b_free,all_rows,char3,paraphrase,120,6,10.724625,12.163133,0.881732
groq_gpt_oss_120b_free,all_rows,char3,modernize,120,6,10.784876,12.163133,0.886686
groq_gpt_oss_120b_free,all_rows,char3,simplify,120,6,10.76134,12.163133,0.884751
groq_gpt_oss_120b_free,all_rows,punctuation,original,120,6,84.337339,84.337339,1.0
groq_gpt_oss_120b_free,all_rows,punctuation,paraphrase,120,6,74.230994,84.337339,0.880168
groq_gpt_oss_120b_free,all_rows,punctuation,modernize,120,6,82.335341,84.337339,0.976262
groq_gpt_oss_120b_free,all_rows,punctuation,simplify,120,6,78.485073,84.337339,0.930609
groq_gpt_oss_120b_free,qc_pass_only,all_features,original,120,6,86.486384,86.486384,1.0
groq_gpt_oss_120b_free,qc_pass_only,all_features,paraphrase,104,6,76.498826,86.486384,0.884519
groq_gpt_oss_120b_free,qc_pass_only,all_features,modernize,92,6,81.346274,86.486384,0.940567
groq_gpt_oss_120b_free,qc_pass_only,all_features,simplify,62,6,73.128866,86.486384,0.845554
groq_gpt_oss_120b_free,qc_pass_only,function_word,original,120,6,39.767264,39.767264,1.0
groq_gpt_oss_120b_free,qc_pass_only,function_word,paraphrase,104,6,32.794476,39.767264,0.82466
groq_gpt_oss_120b_free,qc_pass_only,function_word,modernize,92,6,34.834867,39.767264,0.875968
groq_gpt_oss_120b_free,qc_pass_only,function_word,simplify,62,6,33.660922,39.767264,0.846448
groq_gpt_oss_120b_free,qc_pass_only,char3,original,120,6,12.163133,12.163133,1.0
groq_gpt_oss_120b_free,qc_pass_only,char3,paraphrase,104,6,10.549354,12.163133,0.867322
groq_gpt_oss_120b_free,qc_pass_only,char3,modernize,92,6,10.789048,12.163133,0.887029
groq_gpt_oss_120b_free,qc_pass_only,char3,simplify,62,6,10.442825,12.163133,0.858564
groq_gpt_oss_120b_free,qc_pass_only,punctuation,original,120,6,84.337339,84.337339,1.0
groq_gpt_oss_120b_free,qc_pass_only,punctuation,paraphrase,104,6,73.159605,84.337339,0.867464
groq_gpt_oss_120b_free,qc_pass_only,punctuation,modernize,92,6,79.352936,84.337339,0.940899
groq_gpt_oss_120b_free,qc_pass_only,punctuation,simplify,62,6,71.470868,84.337339,0.84744
