grouping_strategy,model,split,length_band,condition,baseline_condition,rows,authors,accuracy,macro_f1,weighted_f1,accuracy_loss_vs_original,macro_f1_loss_vs_original,weighted_f1_loss_vs_original,baseline_rows,baseline_available
actual_text_length,diagonal_gaussian_nb,validation,450_500,paraphrase,original,15,6,0.4,0.327778,0.284444,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,validation,450_500,modernize,original,9,5,0.333333,0.316667,0.255556,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,validation,450_500,simplify,original,14,6,0.428571,0.351852,0.373016,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,validation,501_575,original,original,38,6,0.736842,0.717045,0.716049,0.0,0.0,0.0,38,1
actual_text_length,diagonal_gaussian_nb,validation,501_575,paraphrase,original,36,6,0.472222,0.42477,0.442113,0.26462,0.292275,0.273936,38,1
actual_text_length,diagonal_gaussian_nb,validation,501_575,modernize,original,42,6,0.547619,0.542654,0.544925,0.189223,0.174391,0.171124,38,1
actual_text_length,diagonal_gaussian_nb,validation,501_575,simplify,original,35,6,0.628571,0.593305,0.597331,0.108271,0.12374,0.118718,38,1
actual_text_length,diagonal_gaussian_nb,validation,576_650,original,original,16,6,0.625,0.618254,0.608333,0.0,0.0,0.0,16,1
actual_text_length,diagonal_gaussian_nb,validation,576_650,paraphrase,original,0,0,0.0,0.0,0.0,0.625,0.618254,0.608333,16,1
actual_text_length,diagonal_gaussian_nb,validation,576_650,modernize,original,3,2,1.0,0.333333,1.0,-0.375,0.284921,-0.391667,16,1
actual_text_length,diagonal_gaussian_nb,validation,576_650,simplify,original,4,4,0.5,0.277778,0.416667,0.125,0.340476,0.191666,16,1
actual_text_length,diagonal_gaussian_nb,validation,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,validation,outside_bands,paraphrase,original,3,3,0.333333,0.083333,0.166667,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,validation,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,validation,outside_bands,simplify,original,1,1,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,test,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,test,450_500,paraphrase,original,10,4,0.5,0.277778,0.5,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,test,450_500,modernize,original,2,2,0.5,0.166667,0.5,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,test,450_500,simplify,original,6,3,0.166667,0.083333,0.166667,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,test,501_575,original,original,42,6,0.809524,0.807051,0.807051,0.0,0.0,0.0,42,1
actual_text_length,diagonal_gaussian_nb,test,501_575,paraphrase,original,40,6,0.475,0.431236,0.41009,0.334524,0.375815,0.396961,42,1
actual_text_length,diagonal_gaussian_nb,test,501_575,modernize,original,48,6,0.604167,0.581512,0.587299,0.205357,0.225539,0.219752,42,1
actual_text_length,diagonal_gaussian_nb,test,501_575,simplify,original,41,6,0.512195,0.463181,0.482369,0.297329,0.34387,0.324682,42,1
actual_text_length,diagonal_gaussian_nb,test,576_650,original,original,12,6,0.583333,0.522222,0.522222,0.0,0.0,0.0,12,1
actual_text_length,diagonal_gaussian_nb,test,576_650,paraphrase,original,2,1,0.0,0.0,0.0,0.583333,0.522222,0.522222,12,1
actual_text_length,diagonal_gaussian_nb,test,576_650,modernize,original,4,3,0.5,0.333333,0.5,0.083333,0.188889,0.022222,12,1
actual_text_length,diagonal_gaussian_nb,test,576_650,simplify,original,5,3,0.4,0.277778,0.466667,0.183333,0.244444,0.055555,12,1
actual_text_length,diagonal_gaussian_nb,test,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,test,outside_bands,paraphrase,original,2,2,0.5,0.166667,0.5,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,test,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,test,outside_bands,simplify,original,2,2,0.5,0.166667,0.5,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,validation,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,validation,450_500,paraphrase,original,15,6,0.4,0.252564,0.257436,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,validation,450_500,modernize,original,9,5,0.444444,0.427778,0.414815,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,validation,450_500,simplify,original,14,6,0.428571,0.316667,0.342857,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,validation,501_575,original,original,38,6,0.657895,0.62593,0.640277,0.0,0.0,0.0,38,1
actual_text_length,linear_discriminant_shrinkage,validation,501_575,paraphrase,original,36,6,0.5,0.430736,0.45101,0.157895,0.195194,0.189267,38,1
actual_text_length,linear_discriminant_shrinkage,validation,501_575,modernize,original,42,6,0.52381,0.526517,0.527849,0.134085,0.099413,0.112428,38,1
actual_text_length,linear_discriminant_shrinkage,validation,501_575,simplify,original,35,6,0.428571,0.384127,0.37932,0.229324,0.241803,0.260957,38,1
actual_text_length,linear_discriminant_shrinkage,validation,576_650,original,original,16,6,0.6875,0.670635,0.681548,0.0,0.0,0.0,16,1
actual_text_length,linear_discriminant_shrinkage,validation,576_650,paraphrase,original,0,0,0.0,0.0,0.0,0.6875,0.670635,0.681548,16,1
actual_text_length,linear_discriminant_shrinkage,validation,576_650,modernize,original,3,2,1.0,0.333333,1.0,-0.3125,0.337302,-0.318452,16,1
actual_text_length,linear_discriminant_shrinkage,validation,576_650,simplify,original,4,4,0.5,0.277778,0.416667,0.1875,0.392857,0.264881,16,1
actual_text_length,linear_discriminant_shrinkage,validation,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,validation,outside_bands,paraphrase,original,3,3,1.0,0.5,1.0,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,validation,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,validation,outside_bands,simplify,original,1,1,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,test,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,test,450_500,paraphrase,original,10,4,0.4,0.333333,0.4,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,test,450_500,modernize,original,2,2,0.5,0.166667,0.5,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,test,450_500,simplify,original,6,3,0.166667,0.083333,0.166667,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,test,501_575,original,original,42,6,0.785714,0.781197,0.781197,0.0,0.0,0.0,42,1
actual_text_length,linear_discriminant_shrinkage,test,501_575,paraphrase,original,40,6,0.45,0.384893,0.375387,0.335714,0.396304,0.40581,42,1
actual_text_length,linear_discriminant_shrinkage,test,501_575,modernize,original,48,6,0.604167,0.589004,0.586782,0.181547,0.192193,0.194415,42,1
actual_text_length,linear_discriminant_shrinkage,test,501_575,simplify,original,41,6,0.463415,0.415488,0.423454,0.322299,0.365709,0.357743,42,1
actual_text_length,linear_discriminant_shrinkage,test,576_650,original,original,12,6,0.75,0.711111,0.711111,0.0,0.0,0.0,12,1
actual_text_length,linear_discriminant_shrinkage,test,576_650,paraphrase,original,2,1,0.5,0.111111,0.666667,0.25,0.6,0.044444,12,1
actual_text_length,linear_discriminant_shrinkage,test,576_650,modernize,original,4,3,0.75,0.444444,0.833333,0.0,0.266667,-0.122222,12,1
actual_text_length,linear_discriminant_shrinkage,test,576_650,simplify,original,5,3,0.6,0.388889,0.733333,0.15,0.322222,-0.022222,12,1
actual_text_length,linear_discriminant_shrinkage,test,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,test,outside_bands,paraphrase,original,2,2,0.5,0.166667,0.5,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,test,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,linear_discriminant_shrinkage,test,outside_bands,simplify,original,2,2,0.5,0.166667,0.5,NA,NA,NA,0,0
source_original_length,nearest_centroid,validation,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,validation,450_500,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,validation,450_500,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,validation,450_500,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,validation,501_575,original,original,38,6,0.684211,0.646732,0.66192,0.0,0.0,0.0,38,1
source_original_length,nearest_centroid,validation,501_575,paraphrase,original,38,6,0.421053,0.361197,0.351843,0.263158,0.285535,0.310077,38,1
source_original_length,nearest_centroid,validation,501_575,modernize,original,38,6,0.526316,0.490603,0.489016,0.157895,0.156129,0.172904,38,1
source_original_length,nearest_centroid,validation,501_575,simplify,original,38,6,0.421053,0.340741,0.335819,0.263158,0.305991,0.326101,38,1
source_original_length,nearest_centroid,validation,576_650,original,original,16,6,0.5625,0.517857,0.520089,0.0,0.0,0.0,16,1
source_original_length,nearest_centroid,validation,576_650,paraphrase,original,16,6,0.625,0.453968,0.569048,-0.0625,0.063889,-0.048959,16,1
source_original_length,nearest_centroid,validation,576_650,modernize,original,16,6,0.5,0.421717,0.488636,0.0625,0.09614,0.031453,16,1
source_original_length,nearest_centroid,validation,576_650,simplify,original,16,6,0.5,0.328571,0.441071,0.0625,0.189286,0.079018,16,1
source_original_length,nearest_centroid,validation,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,validation,outside_bands,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,validation,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,validation,outside_bands,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,test,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,test,450_500,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,test,450_500,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,test,450_500,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,test,501_575,original,original,42,6,0.785714,0.781197,0.781197,0.0,0.0,0.0,42,1
source_original_length,nearest_centroid,test,501_575,paraphrase,original,42,6,0.47619,0.415453,0.415453,0.309524,0.365744,0.365744,42,1
source_original_length,nearest_centroid,test,501_575,modernize,original,42,6,0.571429,0.552973,0.552973,0.214285,0.228224,0.228224,42,1
source_original_length,nearest_centroid,test,501_575,simplify,original,42,6,0.47619,0.421154,0.421154,0.309524,0.360043,0.360043,42,1
source_original_length,nearest_centroid,test,576_650,original,original,12,6,0.75,0.711111,0.711111,0.0,0.0,0.0,12,1
source_original_length,nearest_centroid,test,576_650,paraphrase,original,12,6,0.333333,0.288889,0.288889,0.416667,0.422222,0.422222,12,1
source_original_length,nearest_centroid,test,576_650,modernize,original,12,6,0.583333,0.550794,0.550794,0.166667,0.160317,0.160317,12,1
source_original_length,nearest_centroid,test,576_650,simplify,original,12,6,0.5,0.472222,0.472222,0.25,0.238889,0.238889,12,1
source_original_length,nearest_centroid,test,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,test,outside_bands,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,test,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,nearest_centroid,test,outside_bands,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,validation,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,validation,450_500,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,validation,450_500,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,validation,450_500,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,validation,501_575,original,original,38,6,0.736842,0.717045,0.716049,0.0,0.0,0.0,38,1
source_original_length,diagonal_gaussian_nb,validation,501_575,paraphrase,original,38,6,0.368421,0.360317,0.352632,0.368421,0.356728,0.363417,38,1
source_original_length,diagonal_gaussian_nb,validation,501_575,modernize,original,38,6,0.552632,0.516582,0.519365,0.18421,0.200463,0.196684,38,1
source_original_length,diagonal_gaussian_nb,validation,501_575,simplify,original,38,6,0.552632,0.478241,0.479751,0.18421,0.238804,0.236298,38,1
source_original_length,diagonal_gaussian_nb,validation,576_650,original,original,16,6,0.625,0.618254,0.608333,0.0,0.0,0.0,16,1
source_original_length,diagonal_gaussian_nb,validation,576_650,paraphrase,original,16,6,0.625,0.470635,0.581548,0.0,0.147619,0.026785,16,1
source_original_length,diagonal_gaussian_nb,validation,576_650,modernize,original,16,6,0.5,0.486111,0.515625,0.125,0.132143,0.092708,16,1
source_original_length,diagonal_gaussian_nb,validation,576_650,simplify,original,16,6,0.5625,0.419231,0.517308,0.0625,0.199023,0.091025,16,1
source_original_length,diagonal_gaussian_nb,validation,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,validation,outside_bands,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,validation,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,validation,outside_bands,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,test,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,test,450_500,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,test,450_500,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,test,450_500,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,test,501_575,original,original,42,6,0.809524,0.807051,0.807051,0.0,0.0,0.0,42,1
source_original_length,diagonal_gaussian_nb,test,501_575,paraphrase,original,42,6,0.52381,0.473596,0.473596,0.285714,0.333455,0.333455,42,1
source_original_length,diagonal_gaussian_nb,test,501_575,modernize,original,42,6,0.595238,0.593197,0.593197,0.214286,0.213854,0.213854,42,1
source_original_length,diagonal_gaussian_nb,test,501_575,simplify,original,42,6,0.47619,0.451967,0.451967,0.333334,0.355084,0.355084,42,1
source_original_length,diagonal_gaussian_nb,test,576_650,original,original,12,6,0.583333,0.522222,0.522222,0.0,0.0,0.0,12,1
source_original_length,diagonal_gaussian_nb,test,576_650,paraphrase,original,12,6,0.25,0.236111,0.236111,0.333333,0.286111,0.286111,12,1
source_original_length,diagonal_gaussian_nb,test,576_650,modernize,original,12,6,0.583333,0.577778,0.577778,0.0,-0.055556,-0.055556,12,1
source_original_length,diagonal_gaussian_nb,test,576_650,simplify,original,12,6,0.416667,0.366667,0.366667,0.166666,0.155555,0.155555,12,1
source_original_length,diagonal_gaussian_nb,test,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,test,outside_bands,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,test,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,diagonal_gaussian_nb,test,outside_bands,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,validation,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,validation,450_500,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,validation,450_500,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,validation,450_500,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,validation,501_575,original,original,38,6,0.657895,0.62593,0.640277,0.0,0.0,0.0,38,1
source_original_length,linear_discriminant_shrinkage,validation,501_575,paraphrase,original,38,6,0.447368,0.38702,0.377035,0.210527,0.23891,0.263242,38,1
source_original_length,linear_discriminant_shrinkage,validation,501_575,modernize,original,38,6,0.552632,0.532479,0.539856,0.105263,0.093451,0.100421,38,1
source_original_length,linear_discriminant_shrinkage,validation,501_575,simplify,original,38,6,0.394737,0.321623,0.319358,0.263158,0.304307,0.320919,38,1
source_original_length,linear_discriminant_shrinkage,validation,576_650,original,original,16,6,0.6875,0.670635,0.681548,0.0,0.0,0.0,16,1
source_original_length,linear_discriminant_shrinkage,validation,576_650,paraphrase,original,16,6,0.625,0.453968,0.569048,0.0625,0.216667,0.1125,16,1
source_original_length,linear_discriminant_shrinkage,validation,576_650,modernize,original,16,6,0.5,0.421717,0.488636,0.1875,0.248918,0.192912,16,1
source_original_length,linear_discriminant_shrinkage,validation,576_650,simplify,original,16,6,0.5,0.328571,0.441071,0.1875,0.342064,0.240477,16,1
source_original_length,linear_discriminant_shrinkage,validation,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,validation,outside_bands,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,validation,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,validation,outside_bands,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,test,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,test,450_500,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,test,450_500,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,test,450_500,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,test,501_575,original,original,42,6,0.785714,0.781197,0.781197,0.0,0.0,0.0,42,1
source_original_length,linear_discriminant_shrinkage,test,501_575,paraphrase,original,42,6,0.47619,0.411531,0.411531,0.309524,0.369666,0.369666,42,1
source_original_length,linear_discriminant_shrinkage,test,501_575,modernize,original,42,6,0.619048,0.605556,0.605556,0.166666,0.175641,0.175641,42,1
source_original_length,linear_discriminant_shrinkage,test,501_575,simplify,original,42,6,0.428571,0.364886,0.364886,0.357143,0.416311,0.416311,42,1
source_original_length,linear_discriminant_shrinkage,test,576_650,original,original,12,6,0.75,0.711111,0.711111,0.0,0.0,0.0,12,1
source_original_length,linear_discriminant_shrinkage,test,576_650,paraphrase,original,12,6,0.333333,0.268519,0.268519,0.416667,0.442592,0.442592,12,1
source_original_length,linear_discriminant_shrinkage,test,576_650,modernize,original,12,6,0.583333,0.566667,0.566667,0.166667,0.144444,0.144444,12,1
source_original_length,linear_discriminant_shrinkage,test,576_650,simplify,original,12,6,0.5,0.450794,0.450794,0.25,0.260317,0.260317,12,1
source_original_length,linear_discriminant_shrinkage,test,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,test,outside_bands,paraphrase,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,test,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
source_original_length,linear_discriminant_shrinkage,test,outside_bands,simplify,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
