sensitivity_filter,model,split,condition,rows,excluded_rows,accuracy,macro_f1,weighted_f1,accuracy_loss_vs_original,macro_f1_loss_vs_original,weighted_f1_loss_vs_original
exclude_any_semantic_issue,nearest_centroid,validation,modernize,54,0,0.518519,0.491152,0.491152,0.129629,0.129035,0.129035
exclude_any_semantic_issue,nearest_centroid,validation,simplify,53,1,0.433962,0.369354,0.361229,0.214186,0.250833,0.258958
exclude_any_semantic_issue,nearest_centroid,test,original,54,0,0.777778,0.776931,0.776931,0.0,0.0,0.0
exclude_any_semantic_issue,nearest_centroid,test,paraphrase,54,0,0.444444,0.395797,0.395797,0.333334,0.381134,0.381134
exclude_any_semantic_issue,nearest_centroid,test,modernize,54,0,0.574074,0.56072,0.56072,0.203704,0.216211,0.216211
exclude_any_semantic_issue,nearest_centroid,test,simplify,52,2,0.480769,0.463749,0.46747,0.297009,0.313182,0.309461
exclude_any_semantic_issue,diagonal_gaussian_nb,validation,original,54,0,0.703704,0.683694,0.683694,0.0,0.0,0.0
exclude_any_semantic_issue,diagonal_gaussian_nb,validation,paraphrase,53,1,0.45283,0.416906,0.420055,0.250874,0.266788,0.263639
exclude_any_semantic_issue,diagonal_gaussian_nb,validation,modernize,54,0,0.537037,0.525624,0.525624,0.166667,0.15807,0.15807
exclude_any_semantic_issue,diagonal_gaussian_nb,validation,simplify,53,1,0.54717,0.51,0.503734,0.156534,0.173694,0.17996
exclude_any_semantic_issue,diagonal_gaussian_nb,test,original,54,0,0.759259,0.760859,0.760859,0.0,0.0,0.0
exclude_any_semantic_issue,diagonal_gaussian_nb,test,paraphrase,54,0,0.462963,0.423931,0.423931,0.296296,0.336928,0.336928
exclude_any_semantic_issue,diagonal_gaussian_nb,test,modernize,54,0,0.592593,0.590047,0.590047,0.166666,0.170812,0.170812
exclude_any_semantic_issue,diagonal_gaussian_nb,test,simplify,52,2,0.442308,0.431855,0.433812,0.316951,0.329004,0.327047
exclude_any_semantic_issue,linear_discriminant_shrinkage,validation,original,54,0,0.666667,0.650204,0.650204,0.0,0.0,0.0
exclude_any_semantic_issue,linear_discriminant_shrinkage,validation,paraphrase,53,1,0.509434,0.451714,0.454432,0.157233,0.19849,0.195772
exclude_any_semantic_issue,linear_discriminant_shrinkage,validation,modernize,54,0,0.537037,0.526939,0.526939,0.12963,0.123265,0.123265
exclude_any_semantic_issue,linear_discriminant_shrinkage,validation,simplify,53,1,0.415094,0.359545,0.352427,0.251573,0.290659,0.297777
exclude_any_semantic_issue,linear_discriminant_shrinkage,test,original,54,0,0.777778,0.776931,0.776931,0.0,0.0,0.0
exclude_any_semantic_issue,linear_discriminant_shrinkage,test,paraphrase,54,0,0.444444,0.390232,0.390232,0.333334,0.386699,0.386699
exclude_any_semantic_issue,linear_discriminant_shrinkage,test,modernize,54,0,0.611111,0.598237,0.598237,0.166667,0.178694,0.178694
exclude_any_semantic_issue,linear_discriminant_shrinkage,test,simplify,52,2,0.442308,0.418969,0.42155,0.33547,0.357962,0.355381
