ablation_mode,removed_family,model,split,condition,macro_f1,full_macro_f1,macro_f1_delta_vs_full,macro_f1_loss_vs_original,full_macro_f1_loss_vs_original,loss_delta_vs_full,included_feature_count
minus_register_marker,register_marker,nearest_centroid,test,paraphrase,0.398272,0.395797,0.002475,0.34036,0.381134,-0.040774,201
minus_register_marker,register_marker,nearest_centroid,test,modernize,0.560215,0.56072,-0.000505,0.178417,0.216211,-0.037794,201
minus_register_marker,register_marker,nearest_centroid,test,simplify,0.447783,0.463636,-0.015853,0.290849,0.313295,-0.022446,201
minus_function_word,function_word,nearest_centroid,validation,original,0.617585,0.620187,-0.002602,0.0,0.0,0.0,148
minus_function_word,function_word,nearest_centroid,validation,paraphrase,0.432386,0.427045,0.005341,0.185199,0.193142,-0.007943,148
minus_function_word,function_word,nearest_centroid,validation,modernize,0.476032,0.491152,-0.01512,0.141553,0.129035,0.012518,148
minus_function_word,function_word,nearest_centroid,validation,simplify,0.401609,0.372384,0.029225,0.215976,0.247803,-0.031827,148
minus_function_word,function_word,nearest_centroid,test,original,0.795127,0.776931,0.018196,0.0,0.0,0.0,148
minus_function_word,function_word,nearest_centroid,test,paraphrase,0.378254,0.395797,-0.017543,0.416873,0.381134,0.035739,148
minus_function_word,function_word,nearest_centroid,test,modernize,0.639354,0.56072,0.078634,0.155773,0.216211,-0.060438,148
minus_function_word,function_word,nearest_centroid,test,simplify,0.543546,0.463636,0.07991,0.251581,0.313295,-0.061714,148
minus_char3,char3,nearest_centroid,validation,original,0.624074,0.620187,0.003887,0.0,0.0,0.0,85
minus_char3,char3,nearest_centroid,validation,paraphrase,0.353439,0.427045,-0.073606,0.270635,0.193142,0.077493,85
minus_char3,char3,nearest_centroid,validation,modernize,0.528263,0.491152,0.037111,0.095811,0.129035,-0.033224,85
minus_char3,char3,nearest_centroid,validation,simplify,0.364553,0.372384,-0.007831,0.259521,0.247803,0.011718,85
minus_char3,char3,nearest_centroid,test,original,0.725668,0.776931,-0.051263,0.0,0.0,0.0,85
minus_char3,char3,nearest_centroid,test,paraphrase,0.358137,0.395797,-0.03766,0.367531,0.381134,-0.013603,85
minus_char3,char3,nearest_centroid,test,modernize,0.525521,0.56072,-0.035199,0.200147,0.216211,-0.016064,85
minus_char3,char3,nearest_centroid,test,simplify,0.481296,0.463636,0.01766,0.244372,0.313295,-0.068923,85
